layer,hook,alpha,KL_raw_mean,KL_mapped_mean,delta,drop_pct,file
24,attn_out,0.3,5.7636544211705525,7.050609575907389,-1.2869551547368363,-22.32880496807208,mapped_patch_L24_attn_out_alpha0.3.json
24,attn_out,0.5,5.7636544211705525,7.024369880358378,-1.2607154591878258,-21.87354353788242,mapped_patch_L24_attn_out_alpha0.5.json
24,attn_out,0.7,5.7636544211705525,6.980568002065023,-1.2169135808944702,-21.11357642166417,mapped_patch_L24_attn_out_alpha0.7.json
24,attn_out,1.0,5.7636544211705525,7.062169629732768,-1.2985152085622156,-22.52937309691266,mapped_patch_L24_attn_out_alpha1.0.json
24,mlp_out,0.3,7.1848560221989946,7.0205979220072425,0.164258100191752,2.2861710754431965,mapped_patch_L24_mlp_out_alpha0.3.json
24,mlp_out,0.5,7.1848560221989946,7.004054727554322,0.1808012946446728,2.516421958715004,mapped_patch_L24_mlp_out_alpha0.5.json
24,mlp_out,0.7,7.1848560221989946,6.800784017244975,0.38407200495402,5.345576915770557,mapped_patch_L24_mlp_out_alpha0.7.json
24,mlp_out,1.0,7.1848560221989946,6.4622140343983965,0.7226419878005981,10.057849253594735,mapped_patch_L24_mlp_out_alpha1.0.json
24,resid_post,0.3,6.433974396387736,6.09250616868337,0.3414682277043663,5.3072674317149735,mapped_patch_L24_resid_post_alpha0.3.json
24,resid_post,0.3,6.436596194903056,6.604087942441304,-0.1674917475382482,-2.602178891863371,mapped_patch_L24_resid_post_k1_alpha0.3.json
24,resid_post,0.3,6.436596194903056,6.604087942441304,-0.1674917475382482,-2.602178891863371,mapped_patch_L24_resid_post_k8_alpha0.3.json
24,resid_post,0.3,6.436596194903056,6.604087942441304,-0.1674917475382482,-2.602178891863371,mapped_patch_L24_resid_post_k32_alpha0.3.json
24,resid_post,0.3,6.436596194903056,6.604087942441304,-0.1674917475382482,-2.602178891863371,mapped_patch_L24_resid_post_kfull_alpha0.3.json
24,resid_post,0.5,6.433974396387736,5.664737048149109,0.7692373482386268,11.955865859063788,mapped_patch_L24_resid_post_alpha0.5.json
24,resid_post,0.5,6.436596194903056,5.762589348157247,0.6740068467458089,10.471479433175167,mapped_patch_L24_resid_post_k1_alpha0.5.json
24,resid_post,0.5,6.436596194903056,5.762589348157247,0.6740068467458089,10.471479433175167,mapped_patch_L24_resid_post_k8_alpha0.5.json
24,resid_post,0.5,6.436596194903056,5.762589348157247,0.6740068467458089,10.471479433175167,mapped_patch_L24_resid_post_k32_alpha0.5.json
24,resid_post,0.5,6.436596194903056,5.762589348157247,0.6740068467458089,10.471479433175167,mapped_patch_L24_resid_post_kfull_alpha0.5.json
24,resid_post,0.7,6.433974396387736,5.59624140103658,0.8377329953511561,13.020458953356878,mapped_patch_L24_resid_post_alpha0.7.json
24,resid_post,0.7,6.436596194903056,5.637970811525981,0.7986253833770753,12.407573183004432,mapped_patch_L24_resid_post_k1_alpha0.7.json
24,resid_post,0.7,6.436596194903056,5.637970811525981,0.7986253833770753,12.407573183004432,mapped_patch_L24_resid_post_k8_alpha0.7.json
24,resid_post,0.7,6.436596194903056,5.637970811525981,0.7986253833770753,12.407573183004432,mapped_patch_L24_resid_post_k32_alpha0.7.json
24,resid_post,0.7,6.436596194903056,5.637970811525981,0.7986253833770753,12.407573183004432,mapped_patch_L24_resid_post_kfull_alpha0.7.json
24,resid_post,1.0,6.433974396387736,5.775890097618103,0.6580842987696327,10.228270400626789,mapped_patch_L24_resid_post_alpha1.0.json
24,resid_post,1.0,6.436596194903056,5.628832825024923,0.807763369878133,12.54954241991716,mapped_patch_L24_resid_post_k1_alpha1.0.json
24,resid_post,1.0,6.436596194903056,5.628832825024923,0.807763369878133,12.54954241991716,mapped_patch_L24_resid_post_k8_alpha1.0.json
24,resid_post,1.0,6.436596194903056,5.628832825024923,0.807763369878133,12.54954241991716,mapped_patch_L24_resid_post_k32_alpha1.0.json
24,resid_post,1.0,6.436596194903056,5.628832825024923,0.807763369878133,12.54954241991716,mapped_patch_L24_resid_post_kfull_alpha1.0.json
26,attn_out,0.3,7.840968947410584,5.169915506045023,2.6710534413655607,34.0653490567343,mapped_patch_L26_attn_out_alpha0.3.json
26,attn_out,0.3,7.844342557589213,5.1486020382245385,2.695740519364674,34.36541047989561,mapped_patch_L26_attn_out_k1_alpha0.3.json
26,attn_out,0.3,7.844342557589213,5.1486020382245385,2.695740519364674,34.36541047989561,mapped_patch_L26_attn_out_k8_alpha0.3.json
26,attn_out,0.3,7.844342557589213,5.1486020382245385,2.695740519364674,34.36541047989561,mapped_patch_L26_attn_out_k32_alpha0.3.json
26,attn_out,0.3,7.844342557589213,5.1486020382245385,2.695740519364674,34.36541047989561,mapped_patch_L26_attn_out_kfull_alpha0.3.json
26,attn_out,0.5,7.840968947410584,5.2510546358426415,2.5899143115679424,33.030539069068,mapped_patch_L26_attn_out_alpha0.5.json
26,attn_out,0.5,7.844342557589213,5.22292627175649,2.621416285832723,33.41792210867392,mapped_patch_L26_attn_out_k1_alpha0.5.json
26,attn_out,0.5,7.844342557589213,5.22292627175649,2.621416285832723,33.41792210867392,mapped_patch_L26_attn_out_k8_alpha0.5.json
26,attn_out,0.5,7.844342557589213,5.22292627175649,2.621416285832723,33.41792210867392,mapped_patch_L26_attn_out_k32_alpha0.5.json
26,attn_out,0.5,7.844342557589213,5.22292627175649,2.621416285832723,33.41792210867392,mapped_patch_L26_attn_out_kfull_alpha0.5.json
26,attn_out,0.7,7.840968947410584,5.366300880114237,2.4746680672963466,31.560743115984227,mapped_patch_L26_attn_out_alpha0.7.json
