layer,hook,alpha,KL_raw_mean,KL_mapped_mean,delta,drop_pct,file
24,resid_post,0.8,0.29364856794476507,0.7143317960699399,-0.42068322812517484,-143.26077973733038,mapped_patch_L24_resid_post_k1_alpha0.8.json
24,resid_post,0.8,0.29364856794476507,0.6965956366062165,-0.4029470686614514,-137.22085262722794,mapped_patch_L24_resid_post_k8_alpha0.8.json
24,resid_post,0.8,0.29364856794476507,0.6162975921233496,-0.3226490241785845,-109.87590589553783,mapped_patch_L24_resid_post_k32_alpha0.8.json
24,resid_post,0.8,0.29364856794476507,0.17190268844366074,0.12174587950110433,41.45972185500478,mapped_patch_L24_resid_post_kfull_alpha0.8.json
24,resid_post,1.0,0.29364856794476507,0.7261866025129954,-0.4325380345682303,-147.29785253016803,mapped_patch_L24_resid_post_k1_alpha1.0.json
24,resid_post,1.0,0.29364856794476507,0.7074964811404546,-0.41384791319568953,-140.93306025368864,mapped_patch_L24_resid_post_k8_alpha1.0.json
24,resid_post,1.0,0.29364856794476507,0.6230241046349208,-0.3293755366901557,-112.16657346413855,mapped_patch_L24_resid_post_k32_alpha1.0.json
24,resid_post,1.0,0.29364856794476507,0.17391704356918733,0.11973152437557774,40.77374707241858,mapped_patch_L24_resid_post_kfull_alpha1.0.json
24,resid_post,1.2,0.29364856794476507,0.7372954682012399,-0.44364690025647485,-151.08090032978615,mapped_patch_L24_resid_post_k1_alpha1.2.json
24,resid_post,1.2,0.29364856794476507,0.7178911964098612,-0.42424262846509614,-144.47290904033818,mapped_patch_L24_resid_post_k8_alpha1.2.json
24,resid_post,1.2,0.29364856794476507,0.6303358543415865,-0.3366872863968214,-114.65653953407048,mapped_patch_L24_resid_post_k32_alpha1.2.json
24,resid_post,1.2,0.29364856794476507,0.179093969228367,0.11455459871639806,39.01078064782037,mapped_patch_L24_resid_post_kfull_alpha1.2.json
26,resid_post,0.8,0.34318657745917636,0.829261931280295,-0.48607535382111866,-141.63588722491326,mapped_patch_L26_resid_post_k1_alpha0.8.json
26,resid_post,0.8,0.34318657745917636,0.8092840911944708,-0.4660975137352944,-135.8146105789172,mapped_patch_L26_resid_post_k8_alpha0.8.json
26,resid_post,0.8,0.34318657745917636,0.7288105867803096,-0.3856240093211333,-112.36570269622653,mapped_patch_L26_resid_post_k32_alpha0.8.json
26,resid_post,0.8,0.34318657745917636,0.20768947480867306,0.1354971026505033,39.48205190706251,mapped_patch_L26_resid_post_kfull_alpha0.8.json
26,resid_post,1.0,0.34318657745917636,0.8270924805601438,-0.4839059031009675,-141.00373816587577,mapped_patch_L26_resid_post_k1_alpha1.0.json
26,resid_post,1.0,0.34318657745917636,0.8062609629829725,-0.4630743855237961,-134.93371126348347,mapped_patch_L26_resid_post_k8_alpha1.0.json
26,resid_post,1.0,0.34318657745917636,0.7227105716367562,-0.37952399417757987,-110.58823948985186,mapped_patch_L26_resid_post_k32_alpha1.0.json
26,resid_post,1.0,0.34318657745917636,0.20567951335261264,0.13750706410656371,40.067727917744925,mapped_patch_L26_resid_post_kfull_alpha1.0.json
26,resid_post,1.2,0.34318657745917636,0.8279748811324438,-0.4847883036732674,-141.26085794568561,mapped_patch_L26_resid_post_k1_alpha1.2.json
26,resid_post,1.2,0.34318657745917636,0.8065419944127401,-0.46335541695356375,-135.01560008088663,mapped_patch_L26_resid_post_k8_alpha1.2.json
26,resid_post,1.2,0.34318657745917636,0.7207708092033863,-0.37758423174420996,-110.0230185398569,mapped_patch_L26_resid_post_k32_alpha1.2.json
26,resid_post,1.2,0.34318657745917636,0.20814410845438638,0.13504246900478997,39.34957771501244,mapped_patch_L26_resid_post_kfull_alpha1.2.json
30,resid_post,0.8,0.48378924290339154,1.1321052036682764,-0.6483159607648848,-134.00793222976804,mapped_patch_L30_resid_post_k1_alpha0.8.json
30,resid_post,0.8,0.48378924290339154,1.1145514255762101,-0.6307621826728186,-130.37953859564757,mapped_patch_L30_resid_post_k8_alpha0.8.json
30,resid_post,0.8,0.48378924290339154,1.0357735800743102,-0.5519843371709187,-114.0960336071683,mapped_patch_L30_resid_post_k32_alpha0.8.json
30,resid_post,0.8,0.48378924290339154,0.28401513886327545,0.19977410404011609,41.29362257854278,mapped_patch_L30_resid_post_kfull_alpha0.8.json
30,resid_post,1.0,0.48378924290339154,0.993267943362395,-0.5094787004590035,-105.3100514185558,mapped_patch_L30_resid_post_k1_alpha1.0.json
30,resid_post,1.0,0.48378924290339154,0.975365022222201,-0.49157577931880947,-101.60948936538732,mapped_patch_L30_resid_post_k8_alpha1.0.json
30,resid_post,1.0,0.48378924290339154,0.8952995002269745,-0.41151025732358293,-85.0598196135911,mapped_patch_L30_resid_post_k32_alpha1.0.json
30,resid_post,1.0,0.48378924290339154,0.2446082060535749,0.23918103684981665,49.439097780348746,mapped_patch_L30_resid_post_kfull_alpha1.0.json
30,resid_post,1.2,0.48378924290339154,0.9262978228926658,-0.4425085799892743,-91.46722182858443,mapped_patch_L30_resid_post_k1_alpha1.2.json
30,resid_post,1.2,0.48378924290339154,0.9080881807208061,-0.42429893781741457,-87.70326005411893,mapped_patch_L30_resid_post_k8_alpha1.2.json
30,resid_post,1.2,0.48378924290339154,0.8273012337088584,-0.3435119908054669,-71.00447061284974,mapped_patch_L30_resid_post_k32_alpha1.2.json
30,resid_post,1.2,0.48378924290339154,0.24918018979330858,0.23460905311008295,48.49406152607084,mapped_patch_L30_resid_post_kfull_alpha1.2.json
